ts_code,trade_date,adj_factor
600519.SH,20050414,1.626
600519.SH,20050415,1.626
600519.SH,20050418,1.626
600519.SH,20050419,1.626
600519.SH,20050420,1.626
600519.SH,20050421,1.626
600519.SH,20050422,1.626
600519.SH,20050425,1.626
600519.SH,20050426,1.626
600519.SH,20050427,1.626
600519.SH,20050428,1.626
600519.SH,20050429,1.626
600519.SH,20050509,1.626
600519.SH,20050510,1.626
600519.SH,20050511,1.626
600519.SH,20050512,1.626
600519.SH,20050513,1.626
600519.SH,20050516,1.626
600519.SH,20050517,1.626
600519.SH,20050518,1.626
600519.SH,20050519,1.626
600519.SH,20050520,1.626
600519.SH,20050523,1.626
600519.SH,20050524,1.626
600519.SH,20050525,1.626
600519.SH,20050526,1.626
600519.SH,20050527,1.626
600519.SH,20050530,1.626
600519.SH,20050531,1.626
600519.SH,20050601,1.626
600519.SH,20050602,1.626
600519.SH,20050603,1.626
600519.SH,20050606,1.626
600519.SH,20050607,1.626
600519.SH,20050608,1.626
600519.SH,20050609,1.626
600519.SH,20050610,1.626
600519.SH,20050613,1.626
600519.SH,20050614,1.626
600519.SH,20050615,1.626
600519.SH,20050616,1.626
600519.SH,20050617,1.626
600519.SH,20050620,1.626
600519.SH,20050621,1.626
600519.SH,20050622,1.626
600519.SH,20050623,1.626
600519.SH,20050624,1.626
600519.SH,20050627,1.626
600519.SH,20050628,1.626
600519.SH,20050629,1.626
600519.SH,20050630,1.626
600519.SH,20050701,1.626
600519.SH,20050704,1.626
600519.SH,20050705,1.626
600519.SH,20050706,1.626
600519.SH,20050707,1.626
600519.SH,20050708,1.626
600519.SH,20050711,1.626
600519.SH,20050712,1.626
600519.SH,20050713,1.626
600519.SH,20050714,1.626
600519.SH,20050715,1.626
600519.SH,20050718,1.626
600519.SH,20050719,1.626
600519.SH,20050720,1.626
600519.SH,20050721,1.626
600519.SH,20050722,1.626
600519.SH,20050725,1.626
600519.SH,20050726,1.626
600519.SH,20050727,1.626
600519.SH,20050728,1.626
600519.SH,20050729,1.626
600519.SH,20050801,1.626
600519.SH,20050802,1.626
600519.SH,20050803,1.626
600519.SH,20050804,1.626
600519.SH,20050805,1.969
600519.SH,20050808,1.969
600519.SH,20050809,1.969
600519.SH,20050810,1.969
600519.SH,20050811,1.969
600519.SH,20050812,1.969
600519.SH,20050815,1.969
600519.SH,20050816,1.969
600519.SH,20050817,1.969
600519.SH,20050818,1.969
600519.SH,20050819,1.969
600519.SH,20050822,1.969
600519.SH,20050823,1.969
600519.SH,20050824,1.969
600519.SH,20050825,1.969
600519.SH,20050826,1.969
600519.SH,20050829,1.969
600519.SH,20050830,1.969
600519.SH,20050831,1.969
600519.SH,20050901,1.969
600519.SH,20050902,1.969
600519.SH,20050905,1.969
600519.SH,20050906,1.969
600519.SH,20050907,1.969
600519.SH,20050908,1.969
600519.SH,20050909,1.969
600519.SH,20050912,1.969
600519.SH,20050913,1.969
600519.SH,20050914,1.969
600519.SH,20050915,1.969
600519.SH,20050916,1.969
600519.SH,20050919,1.969
600519.SH,20050920,1.969
600519.SH,20050921,1.969
600519.SH,20050922,1.969
600519.SH,20050923,1.969
600519.SH,20050926,1.969
600519.SH,20050927,1.969
600519.SH,20050928,1.969
600519.SH,20050929,1.969
600519.SH,20050930,1.969
600519.SH,20051010,1.969
600519.SH,20051011,1.969
600519.SH,20051012,1.969
600519.SH,20051013,1.969
